timestamp,symbol,timeframe,iteration,direction,setup_id,range_high,range_low,range_quality_score,range_bars,range_touches_high,range_touches_low,atr_at_setup,range_height_atr,ssl_bsl_sweep_type,sweep_bar,sweep_wick_size_atr,sweep_wick_size_abs,structure_break_type,breakout_bar,breakout_direction,breakout_body_atr,breakout_quality,htf_trend,retest_zone_type,retest_zone_top,retest_zone_bottom,entry_price,sl_price,tp1_price,tp2_price,tp_score,rr_tp1,rr_tp2,rejection_reason,entry_bar,exit_bar,exit_reason,exit_price,r_multiple,mae_abs,mfe_abs,bars_held,session
2024-04-10 08:00:00+00:00,XAU/USD,5min,2,LONG,SETUP_00001,2359.3501,2354.02002,70.0,18,2,3,1.5478,2.968,SSL_SWING_LOW,168,0.663,1.18,MSS_BULLISH,168,LONG,0.887,MODERATE,RANGING,BB,2353.39,2351.85,2353.79,2351.54,2357.75,0.0,35,1.76,0.0,,176,192,SL,2351.49,-1.022,2.36,2.16,16,london
2024-04-12 11:20:00+00:00,XAU/USD,5min,2,SHORT,SETUP_00002,2398.47998,2394.30005,65.0,34,2,2,2.1345,1.988,BSL_EQUAL_HIGHS,762,0.34,0.62,BOS_BEARISH,196,SHORT,1.053,MODERATE_BOS,RANGING,SR,2394.62,2393.98,2393.58,2395.05,2390.12,0.0,30,2.36,0.0,,768,773,SL,2395.1,-1.034,1.85,3.1,5,london
2024-04-12 13:30:00+00:00,XAU/USD,5min,2,LONG,SETUP_00007,2399.97998,2392.32007,55.0,10,2,2,3.317,2.5,SSL_EQUAL_LOWS,794,0.262,0.87,MSS_BULLISH,777,LONG,0.571,MODERATE,RANGING,BB,2397.3,2396.72,2397.7,2396.06,2400.25,0.0,35,1.55,0.0,,794,795,SL,2396.01,-1.03,2.05,1.65,1,new_york
2024-04-15 15:45:00+00:00,XAU/USD,5min,2,LONG,SETUP_00015,2351.98999,2345.1001,65.0,7,2,4,4.0893,1.581,SSL_EQUAL_LOWS,1085,0.292,1.193,BOS_BULLISH,1026,LONG,1.686,MODERATE_BOS,RANGING,OB,2348.9,2348.59,2349.3,2347.77,2352.11,0.0,35,1.84,0.0,,1085,1087,TP1,2352.11,1.837,0.0,3.26,2,new_york
2024-04-22 14:35:00+00:00,XAU/USD,5min,2,LONG,SETUP_00020,2340.3501,2333.11011,65.0,11,2,2,3.4544,1.989,SSL_SESSION_LOW,2437,0.593,2.12,BOS_BULLISH,1094,LONG,0.571,MODERATE_BOS,RANGING,SR,2340.9,2339.8,2341.3,2339.11,2347.59,0.0,30,2.87,0.0,,2439,2445,SL,2339.06,-1.023,5.11,2.58,6,new_york
2024-04-26 11:40:00+00:00,XAU/USD,5min,2,SHORT,SETUP_00021,2349.27002,2345.8999,55.0,17,4,2,1.1803,2.72,BSL_SWING_HIGH,3505,0.431,0.55,MSS_BEARISH,2447,SHORT,0.478,MODERATE,RANGING,SR,2346.09,2345.71,2345.31,2346.32,2342.53,0.0,30,2.75,0.0,,3508,3515,TP1,2342.53,2.752,0.71,3.09,7,london
2024-04-26 14:00:00+00:00,XAU/USD,5min,2,LONG,SETUP_00023,2351.53003,2342.21997,55.0,30,2,3,3.1766,2.988,SSL_RANGE_LOW,3536,0.274,0.87,MSS_BULLISH,3518,LONG,1.496,STRONG,RANGING,OB,2344.16,2343.43,2344.56,2342.79,2348.96,0.0,35,2.49,0.0,,3536,3537,SL,2342.74,-1.028,3.16,0.79,1,new_york
2024-08-14 09:45:00+00:00,XAU/USD,5min,2,SHORT,SETUP_00024,2475.34009,2473.84009,65.0,11,2,2,1.6925,0.9,BSL_SWING_HIGH,5179,1.162,2.0,MSS_BEARISH,3542,SHORT,0.49,MODERATE,RANGING,SR,2474.1,2473.58,2473.18,2474.44,2467.19,0.0,35,4.78,0.0,,5183,5196,SL,2474.49,-1.04,2.12,2.62,13,london
2024-08-19 12:40:00+00:00,XAU/USD,5min,2,SHORT,SETUP_00028,2495.53003,2492.27002,65.0,9,3,2,1.7834,1.775,BSL_SWING_HIGH,6045,0.432,0.77,BOS_BEARISH,5225,SHORT,1.499,MODERATE_BOS,RANGING,SR,2492.55,2491.99,2491.59,2492.9,2489.01,0.0,30,1.98,0.0,,6045,6046,SL,2492.95,-1.038,1.44,0.78,1,new_york
2024-08-21 16:05:00+00:00,XAU/USD,5min,2,SHORT,SETUP_00035,2511.13989,2507.22998,65.0,7,2,2,2.3443,1.672,BSL_SWING_HIGH,6638,0.636,1.49,BOS_BEARISH,6048,SHORT,0.609,MODERATE_BOS,RANGING,SR,2507.58,2506.88,2506.48,2508.05,2500.9,0.0,35,3.55,0.0,,6638,6644,SL,2508.1,-1.032,2.18,3.18,6,new_york
2024-08-22 07:35:00+00:00,XAU/USD,5min,2,SHORT,SETUP_00036,2509.48999,2505.47998,65.0,10,3,2,1.9724,1.942,BSL_SWING_HIGH,6807,0.418,0.76,MSS_BEARISH,6808,SHORT,1.652,STRONG,RANGING,OB,2508.61,2508.41,2508.01,2509.0,2500.97,0.0,35,7.07,0.0,,6812,6814,SL,2509.05,-1.051,1.17,1.7,2,london
2024-08-23 13:20:00+00:00,XAU/USD,5min,2,SHORT,SETUP_00046,2502.44995,2499.13989,55.0,19,2,2,1.943,2.915,BSL_RANGE_HIGH,7157,0.257,0.5,MSS_BEARISH,6819,SHORT,0.417,MODERATE,RANGING,BB,2502.4,2501.97,2501.57,2502.79,2495.83,0.0,30,4.71,0.0,,7157,7161,TP1,2495.83,4.705,0.0,6.47,4,new_york
2024-09-02 11:10:00+00:00,XAU/USD,5min,2,LONG,SETUP_00058,2502.27002,2498.27002,55.0,21,2,2,1.3323,2.735,SSL_RANGE_LOW,8785,0.818,1.09,MSS_BULLISH,7162,LONG,0.723,MODERATE,RANGING,OB,2497.35,2496.81,2497.75,2496.54,2499.53,0.0,35,1.48,0.0,,8785,8786,TP1,2499.53,1.471,0.0,2.02,1,london
2024-09-02 13:10:00+00:00,XAU/USD,5min,2,SHORT,SETUP_00059,2502.27002,2498.27002,55.0,45,2,2,1.2528,2.735,BSL_SWING_HIGH,8808,1.184,1.53,MSS_BEARISH,8790,SHORT,0.514,MODERATE,RANGING,OB,2500.73,2500.23,2499.83,2500.98,2496.69,0.0,35,2.73,0.0,,8809,8810,SL,2501.03,-1.043,1.57,0.23,1,new_york
